data,id,cooper_m,flexoes,abdominais,barras,corrida_5km_min
2026-01-17,M001,2801,38,48,4,18.6
2026-03-18,M001,2829,48,50,7,18.0
2026-05-03,M001,2920,37,53,7,18.0
2026-01-17,M002,2477,40,47,4,20.0
2026-03-18,M002,2609,43,56,3,19.3
2026-05-03,M002,2650,35,58,3,18.8
2026-01-17,M003,2554,37,50,5,19.5
2026-03-18,M003,2683,38,48,4,19.3
2026-05-03,M003,2780,35,53,3,18.6
2026-01-17,M004,2875,49,50,4,18.0
2026-03-18,M004,2992,48,54,7,18.0
2026-05-03,M004,3050,45,54,8,18.0
2026-01-17,M005,2344,34,48,0,20.4
2026-03-18,M005,2476,35,51,2,19.7
2026-05-03,M005,2480,30,51,2,19.1
2026-01-17,M006,2755,44,55,4,18.0
2026-03-18,M006,2874,39,62,5,18.4
2026-05-03,M006,2860,41,61,4,18.6
2026-01-17,M007,2296,29,40,3,20.1
2026-03-18,M007,2330,31,44,2,20.0
2026-05-03,M007,2380,31,51,4,19.7
2026-01-17,M008,2343,35,37,1,20.8
2026-03-18,M008,2482,33,53,1,20.0
2026-05-03,M008,2550,33,54,3,19.8
2026-01-17,M009,3049,42,52,5,18.0
2026-03-18,M009,3126,45,52,9,18.0
2026-05-03,M009,3150,43,52,8,18.0
2026-01-17,M010,2542,41,44,4,19.0
2026-03-18,M010,2616,36,52,3,19.7
2026-05-03,M010,2710,42,58,6,18.9
2026-01-17,M011,2836,45,60,4,18.0
2026-03-18,M011,2861,34,53,4,18.0
2026-05-03,M011,2950,40,60,8,18.0
2026-01-17,M012,2375,31,49,0,20.9
2026-03-18,M012,2481,34,48,1,20.3
2026-05-03,M012,2620,37,54,5,19.8
